puzzle_number,size,solved,valid,time,iterations,backtracks,solution
1,4,True,True,0.0003,11,0,"[[1, 2, 3, 4], [3, 4, 1, 2], [2, 1, 4, 3], [4, 3, 2, 1]]"
2,4,True,True,0.0003,11,0,"[[1, 4, 2, 3], [2, 3, 1, 4], [4, 1, 3, 2], [3, 2, 4, 1]]"
3,4,True,True,0.0002,9,0,"[[3, 1, 4, 2], [4, 2, 3, 1], [1, 3, 2, 4], [2, 4, 1, 3]]"
4,4,True,True,0.0003,9,0,"[[1, 3, 4, 2], [4, 2, 1, 3], [3, 1, 2, 4], [2, 4, 3, 1]]"
5,4,True,True,0.0002,9,0,"[[2, 3, 4, 1], [4, 1, 2, 3], [3, 2, 1, 4], [1, 4, 3, 2]]"
6,4,True,True,0.0004,13,0,"[[1, 2, 3, 4], [3, 4, 1, 2], [2, 1, 4, 3], [4, 3, 2, 1]]"
7,4,True,True,0.0004,11,0,"[[1, 2, 3, 4], [3, 4, 1, 2], [2, 1, 4, 3], [4, 3, 2, 1]]"
8,4,False,False,0.0002,5,4,
9,4,True,True,0.0004,11,0,"[[4, 2, 1, 3], [1, 3, 4, 2], [2, 4, 3, 1], [3, 1, 2, 4]]"
10,4,True,True,0.0003,11,0,"[[1, 2, 4, 3], [4, 3, 1, 2], [2, 1, 3, 4], [3, 4, 2, 1]]"
11,4,True,True,0.0007,15,0,"[[1, 3, 2, 4], [2, 4, 1, 3], [3, 1, 4, 2], [4, 2, 3, 1]]"
12,4,True,True,0.0007,15,0,"[[1, 2, 4, 3], [4, 3, 1, 2], [2, 1, 3, 4], [3, 4, 2, 1]]"
13,4,True,True,0.0006,15,0,"[[1, 3, 4, 2], [4, 2, 1, 3], [3, 1, 2, 4], [2, 4, 3, 1]]"
14,4,True,True,0.0007,15,0,"[[1, 2, 3, 4], [3, 4, 1, 2], [2, 1, 4, 3], [4, 3, 2, 1]]"
15,4,True,True,0.0009,17,0,"[[1, 2, 3, 4], [3, 4, 1, 2], [2, 1, 4, 3], [4, 3, 2, 1]]"
